BCFtools,DeepVariant,FreeBayes,GATK
211376215,211376215,211376215,211376215
211377467,211377467,211377467,211377467
211377709,211377709,211377709,211377709
211377916,211377916,211377916,211377916
211378697,211378697,211378697,211378697
211378747,211378747,211378747,211378747
211378978,211378978,211378978,211378978
211380227,211380559,211380227,211380227
211380559,211380764,211380559,211380559
211380764,211383109,211380764,211380764
211383109,211385111,211383109,211383109
211385111,211385900,211385111,211385111
211385900,211386345,211385900,211385900
211386345,211387139,211386345,211386345
211387139,211388084,211387139,211387139
211388084,211388230,211388084,211388084
211388230,211389522,211388230,211388230
211389522,211392560,211389522,211389522
211392560,211392602,211392560,211392560
211392602,211393628,211392602,211392602
211393628,211393741,211393628,211393628
211393741,211394449,211394449,211393741
211394449,211394498,211394498,211394449
211394498,211394503,211394503,211394498
211394503,211397243,211397243,211394503
211397243,211398210,211398210,211397243
211398210,211398546,211398546,211398210
211398546,211398683,211398683,211398546
211398683,211399873,211399873,211398683
211399873,211400093,211400093,211399873
211400093,211402135,211402135,211400093
211402135,211402648,211402648,211402135
211402648,211402994,211402994,211402648
211402994,211403515,211403515,211402994
211403515,211405606,211405606,211403515
211405606,211405838,211405838,211405606
211405838,211406519,211406519,211405838
211406519,211410212,211410212,211406519
211410212,211411985,211411985,211410212
211411985,211413854,211413854,211411985
211413854,211414437,211414437,211413311
211414437,211418399,211418399,211413313
211418399,211422344,211422344,211413854
211422344,211429026,211429026,211414437
211429026,211429700,211429700,211418399
211429700,211431150,211431150,211422344
211431150,211433113,211433113,211429026
211433113,211433423,211433423,211429700
211433423,211433586,211435254,211431150
211433586,211435254,211435330,211433113
211435254,211435330,211435647,211433423
211435330,211435647,211435729,211433586
211435647,211435729,211436236,211435254
211435729,211435966,211437397,211435330
211435965,211436236,211437848,211435647
211436236,211437397,211440310,211435729
211437397,211437848,211440589,211435966
211437848,211440310,211442352,211436236
211440310,211440589,211443647,211437397
211440589,211442352,211444108,211437848
211442352,211443647,211444192,211440310
211443647,211443880,211444458,211440589
211443880,211443881,211447008,211442352
211443881,211444108,211447466,211443647
211444108,211444192,211447931,211443880
211444192,211444458,211449201,211443881
211444458,211447008,211449407,211444108
211447008,211447466,211449583,211444192
211447466,211447931,211451963,211444458
211447931,211449201,211454318,211447008
211449201,211449407,211460125,211447466
211449407,211449583,211460503,211447931
211449583,211451963,211460653,211449201
211451963,211454318,211461917,211449407
211454318,211460125,211462628,211449583
211460125,211460503,211462707,211451963
211460503,211460653,211463171,211454318
211460653,211461917,211463265,211460125
211461917,211462628,211464018,211460503
211462628,211462707,211464627,211460653
211462707,211463171,211464691,211461917
211463171,211463265,211464732,211462628
211463265,211464018,211465172,211462707
211464018,211464627,211465839,211463171
211464627,211464691,211466140,211463265
211464691,211464732,211466253,211464018
211464732,211465172,211467172,211464627
211465172,211465839,211467457,211464691
211465839,211466140,211467473,211464732
211466140,211466253,211468317,211465172
211466253,211467172,211468698,211465839
211466350,211467457,211469376,211466140
211467172,211467473,211470180,211466253
211467457,211468317,211470608,211467172
211467473,211468698,211479552,211467457
211468317,211469376,211480733,211467473
211468698,211470180,211482014,211468317
211469376,211470608,211483130,211468698
211470180,211479552,211485363,211469376
211470608,211480733,211507008,211470180
211479552,211482014,211507796,211470608
211480733,211483130,211511117,211479552
211482014,211485363,211513731,211480733
211483130,211507008,211514018,211482014
211485363,211507796,211514123,211483130
211507008,211511117,211514200,211485363
211507796,211513731,211514420,211507008
211511117,211514018,211515914,211507796
211513731,211514123,211520578,211511117
211514018,211514200,211520602,211513731
211514123,211514420,211520619,211514018
211514200,211520578,211520684,211514123
211514420,211520602,211520998,211514200
211515914,211520619,211521812,211514420
211520578,211520684,211523249,211515914
211520602,211520998,211523318,211520578
211520619,211521812,211524477,211520602
211520684,211523249,211524647,211520619
211520998,211523318,211524742,211520684
211521812,211524368,211524902,211520998
211523249,211524369,211525625,211521812
211523318,211524372,211527305,211523249
211524368,211524477,211527747,211523318
211524369,211524647,211528315,211524368
211524372,211524742,211528340,211524369
211524477,211524902,211528389,211524372
211524647,211525625,211528687,211524477
211524742,211526409,211529073,211524647
211524902,211526410,211529182,211524742
211525625,211527305,211529358,211524902
211526409,211527315,211529839,211525625
211526410,211527747,211530051,211526409
211527305,211528315,211530087,211526410
211527315,211528340,211530216,211527305
211527747,211528389,211530776,211527315
211528315,211528687,211531058,211527747
211528340,211529073,211531066,211528315
211528389,211529182,211531246,211528340
211528687,211529358,211531507,211528389
211529073,211529839,211531688,211528687
211529182,211530051,211532466,211529073
211529358,211530087,211532687,211529182
211529839,211530216,211533076,211529358
211530051,211530497,211533267,211529839
211530087,211530500,211534437,211530051
211530216,211530776,211534906,211530087
211530497,211531058,211535249,211530216
211530500,211531066,211538231,211530497
211530776,211531246,211538474,211530500
211531058,211531507,211538598,211530776
211531066,211531688,211538709,211531058
211531246,211532466,211539309,211531066
211531507,211532687,211539659,211531246
211531688,211533076,211539797,211531507
211532466,211533267,211540219,211531688
211532687,211534359,211540865,211532466
211533076,211534362,211541071,211532687
211533267,211534437,211541189,211533076
211534359,211534906,211541307,211533267
211534362,211535249,211541677,211534359
211534437,211535980,211541975,211534362
